Product ID,SKU,Product Name,Category,Sub Category,Designer,Designer Price,MRP,Discount %,Fit,Fabric,Material,Status,In Stock,Returnable,Trending,Description,Total Stock
507f1f77bcf86cd799439011,SKU001,Classic Cotton Shirt,Clothing,Shirts,Indigo Amour,1500,2000,25,Regular,Cotton,Cotton,enabled,true,true,false,Comfortable cotton shirt for everyday wear,50
507f1f77bcf86cd799439012,SKU002,,,,DIORAMA DESIGNS,2500,3000,17,,,,,,,Stylish denim jacket with sustainable materials,30
507f1f77bcf86cd799439013,SKU003,Silk Saree,,,,,3500,4000,,,,,,,Traditional silk saree with modern touch,25
507f1f77bcf86cd799439014,SKU004,,,,,ECOSHI,,,,,,,,,Sustainable organic cotton kurta,40
507f1f77bcf86cd799439015,SKU005,Wool Sweater,Clothing,Sweaters,UNITY TRAILS,1800,2200,18,Regular,Wool,Wool,enabled,true,true,false,Warm wool sweater for winter,35
507f1f77bcf86cd799439016,SKU006,,,,,,,,,,,,,,,Beautiful handloom cotton dress,20
507f1f77bcf86cd799439017,SKU007,Linen Shirt,Clothing,Shirts,ADIVTIYA,1600,2000,20,Regular,Linen,Linen,enabled,true,true,false,Comfortable linen shirt,45
507f1f77bcf86cd799439018,SKU008,Block Print Kurta,Clothing,Kurtas,Indigo Amour,2200,2800,21,Regular,Cotton,Cotton,enabled,true,true,true,Traditional block print kurta,30
507f1f77bcf86cd799439019,SKU009,Silk Dupatta,Clothing,Dupattas,DIORAMA DESIGNS,800,1000,20,Regular,Silk,Silk,enabled,true,true,false,Elegant silk dupatta,60
507f1f77bcf86cd799439020,SKU010,Cotton Trousers,Clothing,Trousers,Vasudhaa Vastrram,1400,1800,22,Regular,Cotton,Cotton,enabled,true,true,false,Comfortable cotton trousers,40
